,original,alias
0,PSME1,PSME1
1,CISD1,CISD1
2,SPDEF,SPDEF
3,ATF1,ATF1
4,RHEB,RHEB
5,IGF1R,IGF1R
6,FOXO3,FOXO3
7,GSTM2,GSTM2
8,RHOA,RHOA
9,IL1B,IL1B
10,ASAH1,ASAH1
11,RALA,RALA
12,ARHGEF12,ARHGEF12
13,SOX2,SOX2
14,SERPINE1,SERPINE1
15,HLA-DMA,HLA-DMA
16,EGF,EGF
17,SPTLC2,SPTLC2
18,APP,APP
19,TSKU,TSKU
20,TMEM2,TMEM2
21,NOS3,NOS3
22,CSNK1A1,CSNK1A1
23,NFATC4,NFATC4
24,TBP,TBP
25,SLC2A6,SLC2A6
26,EZH2,EZH2
27,ICAM3,ICAM3
28,BRCA1,BRCA1
29,PSMD4,PSMD4
30,PHKG2,PHKG2
31,ETV1,ETV1
32,KDM5B,KDM5B
33,COG4,COG4
34,MCM3,MCM3
35,TERT,TERT
36,SNX13,SNX13
37,PAK4,PAK4
38,DPH2,DPH2
39,SNX6,SNX6
40,EED,EED
41,WIPF2,WIPF2
42,NENF,NENF
43,RPN1,RPN1
44,C2CD2L,C2CD2L
45,GABPB1,GABPB1
46,POLR2K,POLR2K
47,PTK2B,PTK2B
48,PAF1,PAF1
49,POLR1C,POLR1C
50,RUVBL1,RUVBL1
51,AKT1,AKT1
52,SENP6,SENP6
53,HSPB1,HSPB1
54,EBP,EBP
55,CASK,CASK
56,RRP8,RRP8
57,PIK3C3,PIK3C3
58,BHLHE40,STRA13
59,BDH1,BDH1
60,SH3BP5,SH3BP5
61,PPP2R5A,PPP2R5A
62,EML3,EML3
63,BIRC5,BIRC5
64,EPRS,EPRS
65,PAX8,PAX8
66,CBLB,CBLB
67,PDS5A,PDS5A
68,DFFB,DFFB
69,TGFB3,TGFB3
70,XBP1,XBP1
71,NMT1,NMT1
72,ARFIP2,ARFIP2
73,STAMBP,STAMBP
74,PRKX,PRKX
75,FAH,FAH
76,PLP2,PLP2
77,SOX4,SOX4
78,TESK1,TESK1
79,HN1L,HN1L
80,RRAGA,RRAGA
81,ELOVL6,ELOVL6
82,ACBD3,ACBD3
83,PMAIP1,PMAIP1
84,TWF2,TWF2
85,HDAC6,HDAC6
86,CCND1,CCND1
87,PXN,PXN
88,PHKB,PHKB
89,NFKBIB,NFKBIB
90,CASC3,CASC3
91,MLEC,MLEC
92,GLI2,GLI2
93,USP22,USP22
94,TMED10,TMED10
95,CHERP,CHERP
96,PIK3CA,PIK3CA
97,TRAPPC6A,TRAPPC6A
98,ATP2C1,ATP2C1
99,USP14,USP14
100,APPBP2,APPBP2
101,RPS6,RPS6
102,ECH1,ECH1
103,HDAC2,HDAC2
104,DFFA,DFFA
105,MRPL19,MRPL19
106,SUZ12,SUZ12
107,CSNK2A2,CSNK2A2
108,TICAM1,TICAM1
109,KIAA0100,KIAA0100
110,PAICS,PAICS
111,CDK2,CDK2
112,EDN1,EDN1
113,KIAA0494,EFCAB14
114,SQSTM1,SQSTM1
115,HIF1A,HIF1A
116,WRB,WRB
117,ETFB,ETFB
118,CAMSAP2,CAMSAP2
119,ARNT2,ARNT2
120,SPAG7,SPAG7
121,MAPK1IP1L,MAPK1IP1L
122,MSH6,MSH6
123,UBE2C,UBE2C
124,HS2ST1,HS2ST1
125,TXLNA,TXLNA
126,DNAJB1,DNAJB1
127,TOPBP1,TOPBP1
128,ABCF1,ABCF1
129,LGMN,LGMN
130,PTGS2,PTGS2
131,PLA2G4A,PLA2G4A
132,MAT2A,MAT2A
133,MBTPS1,MBTPS1
134,ZNF274,ZNF274
135,CLIC4,CLIC4
136,EIF4G1,EIF4G1
137,BTK,BTK
138,MYL9,MYL9
139,PSMD2,PSMD2
140,CLTC,CLTC
141,HSD17B10,HSD17B10
142,STX1A,STX1A
143,ALDOA,ALDOA
144,STAT5B,STAT5B
145,CCNA2,CCNA2
146,SDHB,SDHB
147,ETS1,ETS1
148,FOXO4,FOXO4
149,TOMM34,TOMM34
150,KIAA0907,KIAA0907
151,HK1,HK1
152,PAPD7,PAPD7
153,PLOD3,PLOD3
154,TRAK2,TRAK2
155,VAPB,VAPB
156,HSPD1,HSPD1
157,BUB1B,BUB1B
